@relation 'AT: Zone4_10k-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.575attr_4-0.478attr_6-0.471attr_2-0.383attr_5-0.261attr_1... numeric
@attribute -0.696attr_3-0.542attr_1+0.328attr_4+0.245attr_6-0.232attr_2... numeric
@attribute '0.635attr_5-0.484attr_2-0.393attr_6+0.37 attr_1-0.22attr_3...' numeric
@attribute -0.551attr_6-0.479attr_5+0.407attr_4+0.327attr_2-0.324attr_3... numeric
@attribute 0.559attr_1-0.503attr_2+0.476attr_6-0.448attr_5+0.067attr_4... numeric
@attribute class {A,AA,ADA,AN,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-1.57786,-0.819433,-0.453864,-0.133993,0.115022,A
-1.042367,-0.385195,-0.402076,-0.124974,-0.018879,A
-1.384763,-0.286596,-0.271063,-0.416982,0.194662,A
-1.166154,-0.891115,-0.183385,-0.184326,-0.073873,A
-1.939331,-0.831477,-0.133801,-0.378536,0.504247,A
-0.349799,-0.340647,0.231888,-0.016511,-0.241242,A
-1.757862,-0.588475,-0.502587,-0.164355,0.323088,A
-0.86285,-0.636179,-0.098689,-0.204737,-0.140058,A
-0.991235,-0.639416,-0.180427,-0.251079,0.38957,A
-0.837857,-0.297694,0.008647,-0.121578,0.067352,A
-0.969766,-0.078997,0.126406,-0.644737,0.995991,A
-1.27824,-0.407324,-0.244331,-0.286946,0.085135,A
-1.34078,-0.019005,-0.447346,-0.452432,0.405756,A
-0.316665,-0.266592,0.229994,-0.091015,0.140119,A
-1.231564,-0.096446,-0.156271,-0.288696,0.360907,A
-0.324877,0.063423,-0.042274,-0.014444,-0.006516,A
-1.23956,-0.431609,-0.137953,-0.334327,0.272938,A
-1.779781,-0.68277,-0.379045,-0.303375,0.439414,A
-0.46895,0.245373,-0.111161,-0.049901,-0.003657,A
-1.018888,-0.715719,-0.179241,-0.45177,0.155915,A
-0.763359,-0.205877,0.143312,-0.210172,0.137109,A
-0.812795,-0.385168,-0.119929,-0.310296,-0.119886,A
-0.81385,-0.523245,-0.07104,0.156002,-0.221847,A
-0.721483,-0.672567,-0.25227,-0.285235,-0.004733,A
-0.935745,-0.188163,-0.240284,0.012814,-0.049297,A
-1.441525,-0.719683,-0.439671,-0.303478,0.27759,A
-0.672988,-0.853441,-0.66188,0.129573,0.250049,A
-1.409353,-0.607417,-0.311057,-0.312118,-0.025376,A
-1.333995,-0.859414,-0.38026,-0.399948,0.091075,A
-0.918243,0.034612,-0.351402,-0.21385,0.301099,A
-0.615849,-0.862701,-0.22934,-0.364808,-0.12415,A
-1.408347,-0.826693,-0.717157,0.013327,0.365733,A
-1.411759,-0.763386,-0.455349,-0.205319,0.331971,A
-0.49349,-1.050906,0.00882,-0.311941,-0.190876,A
-0.904085,-1.092233,-0.569546,-0.275483,0.039043,A
-0.799562,-0.937892,-0.11509,-0.57504,-0.049183,A
-0.858546,-1.226584,-0.088033,-0.525783,-0.074657,A
-0.786755,-0.520296,-0.363876,-0.011041,-0.151841,A
-0.97507,-0.506062,-0.221117,-0.113458,-0.116936,A
-0.428534,-0.315382,-0.331637,0.101797,-0.350929,A
-1.214971,-0.431474,-0.161395,-0.251655,0.005351,A
-0.741335,-0.833111,0.149887,-0.223285,-0.333352,A
-1.194761,-0.627255,-0.486694,-0.262336,0.44811,A
-0.907069,-0.428375,-0.09971,-0.405497,0.216713,A
-0.449889,-0.540098,-0.167649,0.041139,-0.137998,A
-0.323052,-0.465621,0.035984,0.170998,-0.463094,A
-0.400821,-0.640751,-0.029004,-0.290616,-0.012767,A
-1.048468,-0.512713,-0.507521,0.143747,0.014536,A
-0.92699,-0.593852,-0.249334,0.34529,0.027348,A
-0.853371,-1.110263,0.054873,-0.576732,-0.212838,A
-1.011764,-0.716898,-0.212762,-0.278834,-0.098678,A
-0.359035,-1.046822,-0.423319,-0.204564,0.064622,A
-0.48161,-0.183434,0.049516,0.238092,-0.209776,A
-0.486953,-0.793799,-0.081857,-0.041574,-0.366803,A
-1.171075,-0.825864,-0.523749,-0.1566,0.092816,A
-0.878761,-0.459535,0.011869,-0.044708,0.003072,A
-1.127484,-0.990009,-0.399783,-0.367976,0.087795,A
-0.884629,-0.307489,-0.140614,-0.08278,0.083287,A
-0.58325,-0.457725,0.077714,-0.141668,-0.331911,A
-0.152589,-1.027526,0.08544,-0.44337,-0.076234,A
-0.850694,-0.796564,-0.267597,-0.272001,-0.11878,A
-0.788497,-0.826777,-0.13757,-0.038299,-0.033087,A
-0.599379,-0.785263,0.14317,-0.368936,-0.421633,A
-0.213133,-0.677866,-0.727394,0.324502,0.375411,A
-0.671199,-0.917615,-0.431059,-0.151568,-0.264108,A
-0.789043,-0.678732,-0.046751,-0.024691,-0.073336,A
-1.145748,-0.885952,-0.354963,-0.400097,0.028373,A
-0.746282,-0.876353,-0.065128,-0.119137,-0.323177,A
-0.928305,-0.834367,-0.433935,-0.173711,0.017908,A
-1.004611,-0.958044,-0.235862,-0.157444,-0.176521,A
-1.639571,-0.933044,-0.446265,-0.441451,-0.058818,A
-0.874685,-1.013758,-0.172964,-0.597495,-0.201997,A
-1.061743,-0.526586,-0.597534,-0.096873,0.359691,A
-1.28721,-0.968733,-0.174255,-0.289367,-0.168309,A
-0.594701,-0.451038,-0.725964,-0.060115,0.449044,A
-1.217696,-0.833058,-0.48182,-0.621862,-0.009005,A
-1.091604,-0.828029,-0.042383,-0.533225,-0.17846,A
-1.49729,-0.858207,-0.139632,-0.434664,-0.039427,A
-0.996847,-1.068984,-0.854099,0.080211,0.305483,A
-0.53978,-0.719904,-0.606184,-0.109982,0.441702,A
-0.566637,-1.069665,-0.577836,-0.053529,0.074532,A
-0.761902,-0.805664,-0.297201,-0.542725,0.1093,A
-0.615951,-0.502506,-0.177136,-0.418434,0.158522,A
