attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,class
295.50296,317.844299,394.180176,308.13797,270.303528,288.105896,A
261.619965,295.854706,345.615387,275.797028,263.245148,271.118042,A
269.057617,279.164825,353.706085,299.252411,280.401489,303.199615,A
291.871552,301.219177,383.307983,270.416351,280.921692,258.001953,A
331.400055,294.457123,393.315399,324.359375,291.247314,319.640411,A
258.565277,250.888428,315.686554,241.960739,277.39502,210.237961,A
303.600067,320.413788,365.625488,311.242676,269.25824,315.001587,A
265.318665,274.404816,372.361389,271.287659,277.077606,244.165924,A
294.156433,258.683197,370.815308,276.030792,261.946564,276.306,A
271.090393,260.94635,328.525482,273.941589,273.248962,254.28331,A
287.388245,177.451401,352.812988,306.811005,265.035858,315.310944,A
275.800659,290.408325,348.367615,284.200623,279.474518,287.085358,A
254.188904,263.150146,346.802551,311.858948,263.609558,321.076324,A
256.632019,208.470627,342.184174,275.757141,261.306335,221.995499,A
274.93454,261.858734,325.677765,298.718933,272.222321,299.252411,A
232.243408,232.800339,307.870117,269.105927,253.023712,232.355331,A
285.805878,270.325745,353.44165,287.784637,278.001801,290.001709,A
311.826874,303.191345,381.215149,314.23877,275.486847,319.225616,A
222.912537,236.966248,299.175537,282.34906,254.489685,245.898346,A
279.078827,264.76593,387.423553,268.156677,276.82666,274.972717,A
269.779541,242.095016,322.443787,272.855286,277.72287,255.331161,A
257.256683,273.51416,340.242554,252.907104,280.130341,258.001953,A
272.156219,292.049652,337.831329,272.618774,269.312073,226.797272,A
263.304016,266.923218,379.179382,255.882782,264.699829,252.071411,A
265.819489,295.435272,304.690002,264.884888,266.537048,262.154541,A
294.266876,298.839417,384.615387,290.644104,268.575867,300.081665,A
271.330048,275.6828,408.442169,283.985901,218.833267,245.601303,A
277.958618,305.790771,371.215576,287.656036,284.079224,286.00174,A
285.464539,297.038727,402.23999,280.577972,277.02887,286.504791,A
252.833939,259.356903,316.077515,282.936401,253.842468,290.006897,A
254.472,258.860962,411.393982,256.725525,267.067413,238.052521,A
295.925659,310.266022,401.598053,310.098358,239.117126,291.163177,A
297.107727,295.137268,392.135193,300.059998,260.716309,294.278778,A
271.02951,255.485809,409.849976,240.416306,276.523041,217.830215,A
269.150513,283.975342,440.458862,273.645752,250.455582,257.001953,A
261.480408,249.200729,428.785492,266.159729,281.177887,251.336426,A
287.586517,270.440369,429.441498,242.668503,286.775177,247.729691,A
259.932678,295.702545,349.284973,259.532257,258.660004,246.089417,A
275.465057,301.438232,333.803833,252.958496,275.327087,259.123535,A
233.437363,285.408478,330.938049,250.577332,252.049591,221.045242,A
270.223969,283.301971,357.158234,292.656799,281.256104,274.029205,A
272.222321,272.635284,377.751251,254.691971,293.001709,220.843842,A
287.605621,275.394257,384.298065,290.496124,251.033859,296.435486,A
271.02951,250.4496,358.420135,270.407104,273.92334,275.089081,A
255.001968,264.425781,356.11795,258.427948,253.860199,220.41098,A
247.455048,274.308228,330.992462,247.131546,267.478973,193.662079,A
263.696808,244.403351,364.588806,234.610321,267.346222,233.548706,A
268.343079,304.105255,359.701263,294.516541,246.617111,258.288605,A
292.959045,303.453461,335.912201,279.803497,250.577332,238.027313,A
271.810608,258.971039,432.446533,258.600067,297.112762,239.152664,A
265.007538,279.028687,392.418152,282.120544,275.936584,255.415344,A
262.611877,252.960464,426.484467,245.521896,239.008362,229.106964,A
248.943771,259.832642,315.963593,280.142822,260.099976,210.772385,A
254.28331,272.59494,382.753174,254.974503,268.495819,206.891281,A
272.976196,292.849792,411.884705,299.17218,254.530945,269.903687,A
278.915771,271.447968,338.758026,274.608826,274.167847,246.099579,A
284.383545,289.352722,415.145752,270.266541,268.812195,273.146484,A
276.293335,278.926514,317.529541,260.783447,268.208862,263.047516,A
260.449615,276.586334,325.522644,235.053192,285.590607,226.433212,A
261.705933,220.292984,417.690063,226.850174,269.809204,210.466156,A
261.082367,275.748077,400.655701,271.311615,269.163513,247.341873,A
284.548767,279.823151,375.666077,262.488098,265.243286,236.10379,A
254.332458,261.658173,384.677795,246.738724,295.575714,218.185699,A
267.917908,262.185059,373.064331,254.448425,194.435074,232.165894,A
256.007813,292.658508,402.039795,250.491516,258.631012,233.032181,A
271.587921,266.537048,376.860718,284.543488,267.606049,230.653427,A
273.600067,283.584198,415.207184,281.448029,273.007324,272.029419,A
262.360443,277.074005,398.874664,272.523407,276.73996,218.929214,A
269.416046,284.738464,403.090546,276.73996,256.087891,256.281097,A
272.385742,288.916931,413.192444,284.950867,272.405945,240.470367,A
276.409119,311.218567,431.281799,312.622772,285.828613,291.13913,A
258.822327,266.672089,432.597961,259.896118,287.271637,250.744888,A
