@relation 'AT: Distance Based Feature_16Segments_10k-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R137-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.196attr_43-0.187attr_29-0.185attr_42-0.181attr_44-0.174attr_28... numeric
@attribute '0.201attr_80+0.194attr_81+0.19 attr_70+0.187attr_90+0.179attr_69...' numeric
@attribute '0.193attr_37+0.188attr_36+0.17 attr_22+0.167attr_23+0.156attr_38...' numeric
@attribute '-0.216attr_120-0.213attr_121+0.2  attr_78-0.19attr_115-0.189attr_114...' numeric
@attribute -0.202attr_63-0.198attr_64-0.194attr_74+0.179attr_105+0.174attr_97... numeric
@attribute '0.251attr_85+0.239attr_94+0.233attr_86+0.22 attr_95+0.192attr_93...' numeric
@attribute -0.223attr_130-0.204attr_54-0.203attr_66+0.198attr_15-0.188attr_133... numeric
@attribute '0.23 attr_62-0.229attr_10+0.216attr_61-0.2attr_25+0.196attr_49...' numeric
@attribute '0.25 attr_83+0.23 attr_84+0.202attr_74+0.189attr_92+0.183attr_73...' numeric
@attribute '0.231attr_35+0.2  attr_21-0.2attr_112+0.199attr_34-0.193attr_111...' numeric
@attribute 0.323attr_119+0.301attr_118+0.266attr_123+0.245attr_124+0.189attr_122... numeric
@attribute 0.248attr_116+0.245attr_117-0.228attr_72-0.221attr_62-0.203attr_73... numeric
@attribute -0.216attr_123+0.201attr_4+0.195attr_5+0.186attr_19-0.185attr_49... numeric
@attribute -0.232attr_31-0.212attr_16-0.195attr_52+0.189attr_2-0.188attr_39... numeric
@attribute -0.329attr_128-0.288attr_129-0.223attr_127+0.204attr_3-0.193attr_34... numeric
@attribute -0.224attr_126-0.219attr_33-0.205attr_125-0.196attr_15-0.183attr_14... numeric
@attribute -0.273attr_58-0.257attr_2-0.239attr_57-0.215attr_45-0.195attr_3... numeric
@attribute 0.198attr_6+0.195attr_61+0.187attr_60+0.182attr_93-0.181attr_32... numeric
@attribute 0.277attr_122-0.261attr_109+0.213attr_82-0.206attr_110+0.194attr_72... numeric
@attribute -0.28attr_2-0.247attr_127+0.219attr_101-0.216attr_1+0.205attr_102... numeric
@attribute 0.379attr_109+0.316attr_122-0.273attr_101+0.249attr_123-0.222attr_116... numeric
@attribute 0.284attr_92+0.272attr_83+0.235attr_82-0.217attr_116+0.194attr_122... numeric
@attribute -0.463attr_131+0.293attr_127-0.29attr_132+0.273attr_92+0.222attr_93... numeric
@attribute -0.272attr_116-0.238attr_117-0.222attr_1+0.206attr_131-0.205attr_103... numeric
@attribute -0.372attr_101+0.268attr_95+0.254attr_71-0.251attr_1+0.224attr_72... numeric
@attribute '0.271attr_1+0.25 attr_72-0.234attr_18+0.227attr_2-0.171attr_103...' numeric
@attribute 0.365attr_82+0.242attr_127-0.194attr_71-0.178attr_92-0.176attr_122... numeric
@attribute 0.276attr_92+0.275attr_1-0.248attr_71-0.235attr_122-0.189attr_18... numeric
@attribute '0.336attr_1+0.211attr_122-0.202attr_82+0.2  attr_92-0.191attr_59...' numeric
@attribute '0.373attr_71+0.23 attr_131-0.201attr_97-0.198attr_82+0.194attr_60...' numeric
@attribute -0.4attr_82+0.247attr_92+0.246attr_62+0.238attr_73-0.236attr_71... numeric
@attribute 0.196attr_59-0.192attr_51-0.175attr_38+0.173attr_65-0.168attr_87... numeric
@attribute -0.269attr_71-0.217attr_105+0.211attr_96-0.191attr_126+0.188attr_128... numeric
@attribute '-0.277attr_93+0.246attr_83+0.24 attr_102+0.213attr_71-0.189attr_49...' numeric
@attribute -0.338attr_1+0.301attr_17+0.242attr_47-0.236attr_60-0.212attr_136... numeric
@attribute -0.293attr_17+0.223attr_47+0.204attr_59+0.197attr_133-0.18attr_33... numeric
@attribute class {A,AA,ADA,AN,BA,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,J,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
5.284682,-5.157978,1.072376,-1.534519,3.851063,-1.570549,0.814676,3.122629,2.555562,2.483859,0.196131,5.357821,3.043221,0.140237,-0.097149,-1.737687,1.385175,2.921462,-1.595019,0.121213,-0.238312,-1.668206,0.119403,-1.044301,-0.448794,-0.588037,0.607834,0.072831,1.600281,-0.715946,-0.677665,-0.58721,0.315076,1.06918,-0.084272,-0.199977,A
3.32838,-5.815069,0.136676,-3.240149,3.794152,-0.721304,-0.896199,4.724008,1.930504,1.496288,0.49999,7.178605,1.378766,1.03256,0.212579,-0.359254,0.881349,1.932219,-0.680943,-0.950858,-0.243491,-1.414225,0.658509,-0.859909,-0.336582,-0.14202,-0.203296,0.010646,-0.13682,0.532533,-0.973427,0.161481,0.551124,1.495841,0.99929,-0.681131,A
4.157713,-3.795625,-0.61544,-3.731512,3.946572,-0.920446,-1.187356,4.753875,1.961728,1.393087,0.313219,4.93133,2.392553,0.132643,-0.170591,-1.348907,0.501743,3.531696,-0.691941,-0.760965,0.115311,-1.933828,0.255322,-1.531667,-0.317573,-0.966019,0.299554,-0.638096,0.387077,0.17894,-0.222289,0.362518,0.789618,1.080931,1.47327,-0.519566,A
3.144618,-5.21117,-0.400631,-2.958078,3.971073,-1.173929,0.666188,4.114865,2.090107,1.792129,1.267024,6.734476,0.70612,1.965798,0.620336,-0.75636,1.098704,1.03266,-0.751144,-1.131309,0.138009,-1.511584,0.690545,0.065923,-1.316358,0.852056,-0.334919,1.218145,1.178272,-0.294261,-1.057214,-0.516088,-0.03178,1.461372,-0.379162,-0.491733,A
3.508532,-6.373036,-0.317708,-2.363507,1.441556,-1.938353,-1.751075,5.473284,1.056467,3.416463,3.470825,1.920447,-1.664036,2.602917,3.189562,-3.693075,0.063035,1.005783,2.428316,0.095753,4.694534,-1.019228,-0.396384,-0.354212,-0.220326,-1.727791,-0.716842,1.861991,1.31632,-1.197551,-0.887184,-1.891109,-0.245187,-0.544316,0.909298,1.437943,A
2.906067,-1.77729,-1.797965,-2.735592,4.880314,-0.301461,-0.9327,1.636,-0.315725,1.785351,-2.403578,2.317763,2.46803,0.033615,-3.311615,0.271626,1.502272,-1.106151,-1.1248,-2.266564,2.080211,1.44251,1.293289,-0.497671,-1.889968,0.535997,-0.603671,-0.311136,0.447208,0.533433,-0.796585,-0.361041,-0.584838,-0.571585,-0.699595,-0.418867,A
3.760606,-4.337611,1.527612,-4.061878,0.057493,-1.203879,-0.768354,3.37001,0.661576,3.576695,1.424942,2.537742,-1.610415,1.355764,1.556424,-2.278368,1.586012,1.147497,2.581043,1.67211,3.94212,-0.601034,0.365751,0.434755,0.925268,-2.536837,-0.798842,0.629087,0.467175,-0.30176,-1.08718,-1.625103,-0.263106,-0.267902,0.729802,1.40389,A
4.610544,-3.278439,-0.647036,-3.356606,2.971434,-0.717736,0.608506,2.717513,1.691695,2.147269,0.110593,6.215956,1.402037,0.85669,-0.082802,-0.637884,1.802975,1.46821,-0.495769,-1.41382,-0.266213,-0.943354,0.292876,-0.81768,-1.079029,0.471895,-0.156045,0.258015,1.607667,-0.344686,-0.966916,-0.232379,-0.033789,1.185803,-0.072254,-0.933343,A
4.566012,-4.678679,-0.267482,-3.374931,3.132813,-0.616915,-0.464162,3.498439,2.093579,1.985544,-0.189128,6.247458,2.20396,0.315502,-0.26344,-0.905577,0.829772,1.632489,-0.770163,-1.757216,-0.483354,-1.195394,0.047011,-1.828157,-0.87738,0.246096,0.078479,0.355801,1.363796,0.132185,-1.026234,-0.152333,-0.003097,1.144823,0.259509,-0.990249,A
4.173115,-2.511419,0.033356,-4.28311,2.773077,-0.334898,-0.985856,2.863138,0.584499,1.797984,-0.783823,5.586683,1.382686,-0.268721,-0.849402,-0.363595,1.491698,2.219586,-0.165786,-1.362238,-0.782344,-1.46303,0.537805,-1.61535,0.275043,-0.383244,0.133135,-0.138455,0.795788,0.52745,-0.708519,0.323368,0.166902,0.71385,0.715057,-0.886369,A
2.733192,-3.638033,-1.478257,-4.97613,1.666599,-1.781044,-0.491644,4.524118,1.122854,1.122311,-1.452438,4.599871,0.75858,0.543834,1.60388,-0.172729,1.701586,2.840989,-0.259111,-0.830906,-0.652413,-1.112148,1.021026,0.189088,-0.225301,-1.150085,0.146634,-0.908909,-0.025548,0.327413,-0.220646,0.717608,1.040686,0.410515,1.412846,-0.466155,A
2.981374,-4.097425,0.202559,-3.961888,3.283656,-1.810246,0.148648,4.32201,1.373538,1.522267,-0.766797,4.374318,1.46812,0.712403,0.863186,-0.72885,1.625067,2.370722,-0.240826,-0.692303,-0.429275,-1.369426,0.494658,-0.742173,-0.511327,-0.011622,-0.040546,0.5762,1.171866,-0.029102,-0.428328,-0.091901,0.294986,0.80777,0.46201,-0.942634,A
