@relation 'AT: frechetCheckA - Copy-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.569attr_4-0.516attr_2-0.514attr_6-0.314attr_5-0.199attr_1... numeric
@attribute -0.671attr_3-0.583attr_1+0.314attr_4+0.248attr_6-0.171attr_2... numeric
@attribute '-0.715attr_5+0.47 attr_2-0.284attr_1+0.276attr_3+0.259attr_6...' numeric
@attribute -0.51attr_6-0.449attr_5+0.444attr_1+0.382attr_4-0.365attr_3... numeric
@attribute '0.551attr_6-0.535attr_2+0.52 attr_1-0.374attr_5-0.026attr_3...' numeric
@attribute class {A,AA,ADA,AN,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-1.602356,-0.823604,0.429508,-0.162905,0.206456,A
-1.065117,-0.368462,0.383927,-0.181094,0.065194,A
-1.393895,-0.316221,0.177268,-0.431389,0.312653,A
-1.166345,-0.917128,0.206438,-0.209223,0.024223,A
-1.927502,-0.917143,0.048905,-0.30245,0.634045,A
-0.319709,-0.373492,-0.164308,-0.054593,-0.169374,A
-1.780917,-0.602097,0.422433,-0.152858,0.424468,A
-0.862441,-0.652796,0.129775,-0.260467,-0.050164,A
-0.991441,-0.667602,0.20049,-0.225394,0.490259,A
-0.824339,-0.330066,-0.009054,-0.131888,0.153138,A
-0.945254,-0.166338,-0.18938,-0.538945,1.13167,A
-1.283307,-0.432833,0.185189,-0.302708,0.192761,A
-1.368534,-0.022515,0.330646,-0.473137,0.519867,A
-0.293482,-0.298683,-0.15295,-0.112696,0.208212,A
-1.229436,-0.133965,0.072004,-0.26991,0.466662,A
-0.325474,0.075269,0.075419,-0.079744,0.052064,A
-1.234808,-0.475698,0.088317,-0.316816,0.385713,A
-1.791707,-0.722054,0.299887,-0.266248,0.555783,A
-0.476347,0.262106,0.10089,-0.126227,0.057455,A
-1.02088,-0.747263,0.182112,-0.461781,0.275534,A
-0.73818,-0.257486,-0.152058,-0.202864,0.231748,A
-0.810256,-0.404411,0.108782,-0.353036,-0.015091,A
-0.809436,-0.52778,0.122081,0.100765,-0.165609,A
-0.733917,-0.66965,0.299881,-0.335901,0.091231,A
-0.940775,-0.186453,0.216562,-0.019887,0.02636,A
-1.462244,-0.73228,0.404161,-0.304137,0.387635,A
-0.727485,-0.775853,0.792802,0.053996,0.291689,A
-1.420857,-0.628468,0.257266,-0.347018,0.085034,A
-1.352117,-0.874775,0.364501,-0.427078,0.208238,A
-0.937031,0.043798,0.295866,-0.235101,0.390883,A
-0.63152,-0.855414,0.310478,-0.447074,-0.026826,A
-1.458257,-0.785036,0.737603,-0.016882,0.434879,A
-1.435973,-0.767764,0.443048,-0.208204,0.428887,A
-0.48538,-1.072963,0.111485,-0.367309,-0.093071,A
-0.948419,-1.051487,0.657309,-0.360053,0.127374,A
-0.804181,-0.963575,0.166566,-0.635188,0.072286,A
-0.853103,-1.266666,0.163636,-0.552121,0.05327,A
-0.807939,-0.491924,0.402491,-0.084273,-0.081863,A
-0.976867,-0.516072,0.218429,-0.143616,-0.02544,A
-0.452943,-0.262562,0.397966,-0.017808,-0.301444,A
-1.216693,-0.458871,0.119561,-0.284881,0.104986,A
-0.718204,-0.878951,-0.086675,-0.274501,-0.23775,A
-1.223061,-0.62122,0.48214,-0.26148,0.546579,A
-0.902697,-0.463188,0.085571,-0.40677,0.330201,A
-0.45928,-0.518248,0.262574,-0.034517,-0.080833,A
-0.314899,-0.45561,0.066968,0.073484,-0.416802,A
-0.393292,-0.656823,0.110014,-0.321679,0.084209,A
-1.084002,-0.468985,0.536223,0.07166,0.066266,A
-0.934603,-0.579844,0.316372,0.320685,0.067549,A
-0.840727,-1.162155,0.005019,-0.630116,-0.085226,A
-1.022409,-0.726273,0.232261,-0.343447,-0.002966,A
-0.392851,-1.00105,0.580644,-0.282544,0.14058,A
-0.473635,-0.17893,0.014503,0.16343,-0.172577,A
-0.490475,-0.784129,0.19327,-0.141227,-0.301145,A
-1.209625,-0.797389,0.555881,-0.225975,0.17301,A
-0.864669,-0.491274,0.008921,-0.058779,0.082409,A
-1.149432,-0.992517,0.431207,-0.403905,0.197741,A
-0.879928,-0.325192,0.133242,-0.086583,0.169841,A
-0.56303,-0.486464,-0.042975,-0.188807,-0.241997,A
-0.141071,-1.050621,0.068383,-0.493004,0.02825,A
-0.867609,-0.791042,0.318181,-0.348596,-0.026921,A
-0.788755,-0.835361,0.217573,-0.070353,0.042831,A
-0.580153,-0.825074,-0.081603,-0.446038,-0.316475,A
-0.272195,-0.569741,0.909542,0.262395,0.39499,A
-0.702739,-0.877138,0.524511,-0.258314,-0.186223,A
-0.786883,-0.690952,0.115538,-0.077479,-0.005392,A
-1.166898,-0.891068,0.370245,-0.453151,0.137991,A
-0.747754,-0.883129,0.150466,-0.209577,-0.247406,A
-0.958481,-0.809421,0.491346,-0.24211,0.100159,A
-1.018917,-0.957897,0.298943,-0.236195,-0.094595,A
-1.668496,-0.944238,0.402196,-0.511695,0.057931,A
-0.883451,-1.034292,0.216734,-0.676291,-0.076226,A
-1.104391,-0.486989,0.613812,-0.134498,0.434054,A
-1.29477,-0.993818,0.19196,-0.357369,-0.069241,A
-0.653176,-0.371624,0.799191,-0.117063,0.509196,A
-1.252618,-0.828048,0.462611,-0.703184,0.118649,A
-1.083054,-0.877413,0.035552,-0.576086,-0.049238,A
-1.493042,-0.91257,0.096573,-0.451612,0.086573,A
-1.066368,-0.983419,0.968925,0.003869,0.354826,A
-0.584273,-0.662387,0.712099,-0.140793,0.512564,A
-0.617106,-1.00138,0.731853,-0.154855,0.131223,A
-0.781886,-0.806542,0.342079,-0.598727,0.225596,A
-0.62861,-0.504607,0.21779,-0.473564,0.257632,A
-1.049688,-0.73824,0.776542,-0.23265,0.593234,A
-0.889525,-0.785386,0.707447,-0.101703,0.28845,A
-1.443267,-1.129571,0.279114,-0.640872,0.323783,A
-1.241315,-1.045016,0.204692,-0.433342,-0.00311,A
-1.268733,-0.624298,0.923992,-0.394518,0.952158,A
-1.118216,-0.87196,0.392153,-0.09372,-0.075643,A
-1.052848,-0.973747,0.379107,-0.651366,0.256737,A
-0.963593,-0.918286,0.532383,-0.368705,0.0948,A
-1.291578,-0.806217,0.177382,-0.702118,0.29133,A
-0.746577,-1.022239,0.697639,-0.223044,0.139937,A
-1.33811,-1.235967,0.396349,-0.603603,0.277587,A
-0.799828,-1.125755,0.198528,-0.198989,-0.124088,A
-1.121252,-1.119005,0.395,-0.522017,0.309738,A
-0.950573,-1.082737,0.288443,-0.255047,-0.088554,A
-1.000234,-0.713313,1.144107,-0.209181,0.483676,A
-0.977145,-0.630042,0.076436,-0.505932,0.059573,A
-1.071798,-1.325951,0.595611,-0.604334,0.167858,A
-0.718211,-1.248408,0.093468,-0.626632,-0.031901,A
-0.450559,-1.258645,0.356343,-0.462797,0.251994,A
-0.961101,-0.970448,0.220092,-0.563246,-0.076881,A
-1.025216,-0.990844,0.232364,-0.651185,0.066774,A
-0.321989,-1.181849,-0.015437,-0.610563,-0.123911,A
-0.528491,-1.177499,0.401492,-0.518722,0.213511,A
-1.264956,-0.981443,0.192351,-0.339116,-0.010062,A
-1.013752,-1.123636,0.38375,-0.69465,0.203472,A
-0.829616,-1.156732,0.440662,-0.166488,0.054435,A
-1.004107,-0.797801,0.112467,-0.821928,0.408695,A
-0.76939,-0.939502,0.257834,-0.21166,-0.208854,A
-1.05989,-1.21423,0.2982,-0.514322,0.116491,A
-0.769916,-0.967244,0.420629,-0.155689,-0.053554,A
-0.516797,-1.196167,0.202476,-0.656542,0.077111,A
-0.474724,-1.133032,-0.00065,-0.662804,-0.063365,A
-0.803783,-1.403623,0.280898,-0.626968,0.043019,A
-0.343766,-1.008462,-0.051937,-0.561417,-0.052368,A
-0.707683,-1.058774,0.710232,-0.162735,0.118483,A
-1.199147,-1.079303,0.412622,-0.439552,-0.003055,A
-0.628496,-1.125139,0.758195,-0.274813,0.091757,A
-0.982227,-0.595017,0.224482,-0.486214,0.478179,A
-0.324173,-1.243535,0.109919,-0.584481,0.129163,A
-1.022951,-1.025466,0.519371,-0.322572,-0.096755,A
-0.745683,-0.652607,0.123186,-0.613486,0.388819,A
-0.648643,-0.465685,0.210268,-0.472298,0.288174,A
-0.264159,-1.096781,0.413732,-0.420115,0.238792,A
-0.823709,-0.908198,0.165995,-0.66729,0.076718,A
-1.127493,-1.09774,0.439374,-0.4179,0.144793,A
-0.151641,-1.216427,-0.000832,-0.544014,0.016764,A
0.147544,-1.09035,-0.117251,-0.291895,0.161978,A
-0.363104,-1.224716,0.096233,-0.654856,-0.0274,A
-0.860323,-1.216405,0.141095,-0.436256,-0.313063,A
-1.372885,-0.864008,0.307118,-0.590773,0.297074,A
-1.089445,-0.729071,0.226876,-0.512188,0.292035,A
-1.32552,-0.799076,0.064512,-0.248125,-0.149447,A
-1.762083,-0.876949,0.119893,-0.323496,0.09909,A
-1.35886,-0.84843,0.053317,-0.226636,0.306792,A
-1.29625,-0.393044,-0.02549,-0.317572,0.03485,A
-1.707595,-0.595907,0.263912,-0.475483,0.335915,A
-0.693499,-0.646778,-0.137147,-0.259408,-0.376191,A
-1.662918,-0.699295,0.090245,-0.407859,0.070797,A
-1.665918,-0.446121,0.278684,-0.449867,0.252934,A
-1.690479,-0.189698,0.138591,-0.430499,0.054849,A
-1.565072,-0.31977,0.326272,-0.545115,0.089896,A
-1.355376,-0.701306,0.104712,-0.45066,-0.0626,A
-0.939073,-0.488363,0.021442,-0.482595,-0.009427,A
-1.3296,-0.438598,0.218852,-0.431893,0.057364,A
-0.512828,-0.44048,-0.122838,-0.133292,-0.201588,A
-1.085139,-1.03243,-0.012207,-0.320409,-0.373467,A
-1.359168,-0.893227,0.131166,-0.518722,-0.259625,A
-0.524739,-0.900306,-0.205935,-0.655805,0.014111,A
-1.296482,-0.638282,0.019193,-0.776674,0.214755,A
-0.865984,-0.733061,0.266504,-0.429843,0.246234,A
-1.318163,-0.397534,-0.245795,-0.325196,-0.41848,A
-1.747317,-0.434263,0.343924,-0.634378,0.060932,A
-1.071756,-0.661533,-0.094846,-0.348109,-0.354569,A
-1.150357,-0.088099,-0.047723,-0.745834,0.383055,A
-1.07043,-0.440346,0.201234,-0.619671,0.442256,A
-0.816673,-0.53307,-0.35016,-0.206784,-0.718757,A
-1.487721,-0.35773,0.177384,-0.463611,0.046852,A
-1.369876,-0.1732,0.167506,-0.407398,-0.193857,A
-1.474893,-0.303882,-0.071141,-0.42862,-0.098945,A
-1.265531,-0.270941,-0.025505,-0.525422,-0.018619,A
-0.936083,-0.412566,-0.200999,-0.268321,-0.456104,A
-1.032383,-0.716471,0.054415,-0.488656,-0.311565,A
-1.175329,-0.705892,0.050242,-0.227199,-0.255687,A
