@relation 'AT: Zones9_15k-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.228attr_32-0.225attr_13-0.216attr_20-0.211attr_2-0.202attr_12... numeric
@attribute -0.326attr_18-0.275attr_17+0.269attr_8+0.255attr_3-0.249attr_21... numeric
@attribute 0.315attr_15-0.29attr_31+0.289attr_1-0.273attr_34+0.263attr_12... numeric
@attribute 0.337attr_5-0.3attr_14+0.299attr_23+0.285attr_2-0.277attr_13... numeric
@attribute -0.335attr_10+0.307attr_36+0.302attr_33-0.294attr_13+0.283attr_32... numeric
@attribute 0.439attr_26-0.292attr_6+0.288attr_25+0.287attr_10-0.271attr_28... numeric
@attribute -0.489attr_27-0.301attr_29-0.281attr_30-0.254attr_28-0.237attr_11... numeric
@attribute 0.346attr_32-0.327attr_30+0.305attr_23+0.289attr_12-0.28attr_17... numeric
@attribute '-0.356attr_7-0.347attr_25+0.346attr_33+0.329attr_35+0.29 attr_30...' numeric
@attribute 0.445attr_9-0.344attr_27+0.311attr_29-0.284attr_11+0.262attr_22... numeric
@attribute '-0.445attr_1-0.352attr_33-0.344attr_22+0.302attr_9+0.27 attr_36...' numeric
@attribute '0.47 attr_24-0.363attr_34+0.354attr_1-0.336attr_3-0.278attr_11...' numeric
@attribute 0.638attr_36-0.461attr_34+0.325attr_22-0.234attr_25+0.174attr_19... numeric
@attribute 0.604attr_3-0.344attr_24+0.303attr_29-0.27attr_11-0.233attr_7... numeric
@attribute -0.453attr_11-0.388attr_33-0.284attr_24+0.262attr_9+0.223attr_12... numeric
@attribute -0.714attr_18+0.272attr_9+0.224attr_16+0.203attr_1+0.183attr_19... numeric
@attribute 0.356attr_33+0.273attr_24-0.273attr_16+0.268attr_36-0.259attr_8... numeric
@attribute CLASS {A,AA,ADA,AN,BA,BHA,BI,C,CH,CN,DA,DDA,DDH,DHA,DRA,E,EN,G,GH,HA,I,II,JA,JH,K,KH,KT,LA,MA,MN,MSA,NA,O,OI,OU,PA,PHA,RA,RI,S,SA,T,TA,THA,TTA,U,UN,UU,Y,YA}

@data
-1.473885,-0.86388,-0.371768,-0.068149,-1.303293,0.19073,4.599709,2.803669,0.065813,0.680099,0.923302,0.098388,-0.26963,0.151882,0.393389,-0.331431,-0.238372,A
-0.688225,-2.260543,-0.777254,-2.738764,-0.612363,2.874986,-1.6341,0.381204,0.791729,0.216671,-0.191408,-0.120892,0.139614,-0.581143,-0.349237,0.400372,-0.046883,A
-3.647859,-0.684894,0.153217,-0.044525,-0.208742,-0.315897,0.246557,-0.440718,-0.334855,-0.208819,0.217639,-0.342464,-0.15782,-0.851357,-0.289684,-0.620659,0.112937,A
-2.830497,0.633557,0.436032,0.342073,-0.356678,0.064305,-0.124999,0.145914,-0.176318,-0.090414,0.62074,-0.284286,0.11399,0.570818,-0.733382,-0.378388,-0.008894,A
-1.301683,-1.045941,0.341412,0.024115,-0.971712,0.77936,4.494207,2.809743,-0.320416,0.65949,0.713132,0.201821,-0.040142,0.353733,0.603863,-0.407524,0.125669,A
-2.234895,0.529611,-0.661188,-0.893434,-0.258199,0.264228,-0.191911,0.242289,-0.444671,-0.172868,-0.008032,0.285692,0.003848,-0.246229,-0.952143,0.203788,-0.050473,A
-3.792999,-0.806904,0.134671,0.124039,-0.238402,-0.377887,-1.00107,0.021755,0.283618,-0.808805,0.821453,0.227267,-0.373018,-0.050989,0.601243,-0.339969,0.226358,A
-2.873536,0.206919,0.078349,0.093833,-0.318662,-0.426809,0.145482,-0.014794,-0.073143,-0.025962,0.550142,-0.171181,-0.388783,0.327378,-0.405531,-0.724022,-0.051719,A
-2.711952,0.21394,0.015011,0.040606,-0.577476,-0.431895,-0.574695,0.452512,0.656718,-0.501609,0.948085,-0.456978,-0.393006,0.42942,0.02954,-0.410742,-0.220113,A
-1.360897,-2.780533,-1.240938,-3.220221,-0.399736,2.183616,-1.353206,0.352773,0.52021,0.234429,0.211857,0.330645,-0.713701,-0.644189,-0.35301,0.128122,0.232118,A
-2.479239,-1.411767,-0.500296,-0.97643,0.386206,0.221719,-0.92516,0.63222,0.480085,-0.396399,0.620308,0.215589,0.111297,-1.241555,0.575204,-0.051766,-0.359769,A
-3.048468,-1.153939,0.073366,0.006946,-0.451957,-0.054924,0.057576,0.141006,-0.050754,-0.483637,0.475237,-0.016792,-0.516638,-0.651055,-0.199684,-0.550985,0.152753,A
-2.689134,-1.548169,0.049379,0.035746,-0.359816,-0.174497,0.219384,0.882747,0.111008,-1.157262,0.892561,-0.177212,-0.466846,-1.449394,0.114411,-0.098604,-0.037669,A
-3.11999,0.836079,-0.128078,-0.430402,0.0654,-0.398915,0.366978,-0.018361,0.359452,-0.164036,0.584814,0.244338,-0.521988,0.448091,-0.647393,-0.597593,-0.159948,A
-3.606465,-1.096729,0.059093,-0.243936,-0.582166,-0.093474,0.14525,-0.337805,-0.306884,-0.222944,0.178261,-0.497082,-0.192847,-0.607164,-0.51128,-0.864564,0.198063,A
-2.437559,0.005371,-0.159176,-0.198737,-0.037071,-0.221186,-0.005079,-0.100947,-0.33967,-0.017882,-0.126249,0.292751,-0.052824,-0.59768,-0.580814,-0.099173,-0.055303,A
-2.966132,-0.219987,0.002129,0.106753,-0.406915,-0.171536,-0.371602,0.309141,0.128832,-0.481758,0.298704,0.119776,-0.188697,-0.169884,0.242567,-0.183466,0.05569,A
-1.115678,-1.014389,0.070078,-0.261258,-0.819125,0.416383,4.536131,2.753668,-0.192872,0.381306,0.594457,0.110671,-0.099288,0.263804,0.670329,-0.369881,-0.098112,A
-2.834848,-0.358973,0.008512,-0.201545,0.249748,-0.21617,0.006973,-0.364615,-0.21826,-0.092513,0.190521,0.568055,-0.408458,-0.800621,-0.319423,-0.594867,-0.061774,A
-2.354391,-0.278787,0.330589,0.342404,-0.371976,-0.170255,0.181895,1.050962,0.564342,-1.705996,0.760262,-0.23728,-0.385846,-0.177764,-0.234964,0.368047,0.221093,A
-1.386866,-2.555493,-1.376153,-3.313052,-0.321357,2.261198,-1.377205,0.409332,0.54369,0.222567,0.116491,0.353726,-0.547639,-0.571738,-0.482098,0.278593,0.150117,A
-3.526929,0.140094,0.439279,-0.166622,-0.196878,0.13986,-0.150461,-0.531914,-0.009909,-0.16276,0.126298,0.124501,-0.334019,-0.625295,-0.794758,-0.568258,-0.045316,A
-3.1274,0.251524,0.432509,-0.052922,0.166558,0.180309,0.050938,0.004655,0.060216,-0.656809,-0.292523,0.473608,-0.365368,-0.034175,0.036907,-0.023029,-0.039034,A
0.468209,0.037003,-0.40462,-0.34678,-0.429399,0.638687,3.992945,2.866457,0.215525,0.270384,0.735236,-0.124565,-0.129436,0.339752,-0.195162,0.268738,0.300457,A
-3.602402,-0.603941,-0.041991,-0.054902,-0.110117,0.075272,-0.094658,0.052945,-0.434157,0.100157,-0.085941,0.253979,-0.445841,-0.496643,-0.545612,-0.363336,0.093,A
-2.977381,-0.029999,0.204968,0.273185,0.115225,0.162467,-0.852718,0.391292,0.440938,-0.658427,0.225069,0.103023,-0.382673,0.229666,0.519773,-0.045314,0.1387,A
-2.990944,0.586137,0.952479,0.481126,-0.318082,-0.405057,0.139363,-0.058547,-0.01608,-0.194236,0.382426,0.01502,-0.155455,0.48203,-0.556412,-0.518255,-0.041958,A
-3.420102,-0.65499,0.416275,0.176378,-0.444701,-0.097927,-0.840575,0.042882,0.496886,-0.684962,0.616758,0.074446,-0.427839,0.178286,0.845285,-0.371534,0.102453,A
-2.820048,0.165294,0.742183,0.699107,-0.692615,-0.561721,-0.008177,0.73343,0.688385,-2.174428,1.168546,-1.144669,-0.563842,-0.61097,-0.809265,-0.363829,-0.27663,A
-2.170785,-3.180738,-0.842828,-3.532002,-0.363196,2.375394,-1.480467,-0.096779,0.576033,-0.063163,0.326922,0.174287,-0.563204,-0.903541,-0.804772,-0.332744,0.303565,A
0.282708,0.747095,0.011192,0.101645,-0.629505,0.270326,4.190445,3.139876,0.183902,-0.105049,0.295764,0.031497,-0.104804,0.956961,-0.036646,0.524676,0.30249,A
-0.989028,-0.87393,0.490066,-0.171628,-1.018648,0.376106,4.411238,2.787897,-0.348391,0.375404,0.601086,0.479435,0.454806,0.404733,0.662434,-0.065578,0.015492,A
-2.735238,-0.273495,0.859909,-0.382235,0.53385,0.162104,0.011827,0.93383,0.40586,-1.188703,0.881693,0.933893,-0.920812,0.668719,0.608612,0.284084,0.26868,A
-2.59517,1.437294,0.350519,0.268334,-0.943894,-0.444015,-0.062333,0.217773,0.354621,-0.570601,-0.121227,-0.746546,-0.383954,-0.087689,-1.029183,-0.226825,-0.160244,A
-0.236466,0.009732,0.421575,0.267134,-0.763893,0.257665,4.30176,2.954738,-0.113684,0.24388,0.42159,0.381211,0.028065,0.449419,0.447914,0.192333,0.055659,A
-2.766116,0.240544,0.740104,0.576151,-0.567948,-0.873034,-0.089232,1.084844,1.031166,-2.175045,1.394957,-0.576905,-0.339153,0.212823,-0.758397,-0.015934,0.244664,A
-2.167864,0.117233,0.764529,0.34105,-0.331271,0.092601,0.234385,1.312305,0.866914,-2.311066,0.898579,-0.427915,-0.569999,-0.368411,-0.392163,0.58559,0.093572,A
-3.637644,0.354796,0.511495,0.232211,-0.429556,-0.08725,0.026763,-0.227179,-0.233989,0.074789,0.427728,-0.492638,0.098653,-0.17671,-1.079739,-0.824537,-0.249247,A
-3.319505,-0.024409,0.85198,-0.457956,-0.589589,0.041318,0.106214,0.091067,-0.357069,-0.681903,-0.602447,0.088048,-0.003293,-0.829614,-0.351528,0.101801,-0.135118,A
